id,"created_at","updated_at","item_id","category","item_name",display_order,"chi_item_name","standard","graph_id","barcode",incoming_inv,inventory,preserved_inv,shipped_inv,"unit",safety_inventory,unit_weight,avg_cost,price1,price2,price3,price4,price5,price6,"descriptions","remark"
166,"2016-10-11 16:15:41","2017-02-03 17:11:25","FAGC-00291502","AR15","M4 Buffer Spring",169,"","","","",0,3745,0,5,"",0,49.30,0.76733333333333,0,1.8,1.7,1.6,1.5,1.4,"",""
167,"2016-10-11 16:16:17","2017-02-03 17:11:25","FAGC-00291503","AR15","M4 Buffer",170,"緩衝器","","","",0,503,0,0,"",0,90.00,2.3827833001988,0,5.5,4.85,4.72,4.58,4.45,"",""
168,"2016-10-11 16:18:08","2017-02-03 17:11:25","FAGC-002915031","AR15","    --Buffer Tube",171,"","","","",0,0,0,0,"",0,0.00,0,0,3.3,3.12,2.95,2.82,2.75,"",""
169,"2016-10-11 16:19:13","2017-02-03 17:11:25","FAGC-002915032","AR15","    --Buffer PU Bumper",172,"","","","",0,750,0,0,"",0,6.00,0.63,0,1.2,1.09,0.98,0.85,0.72,"",""
170,"2016-10-11 16:20:01","2017-02-03 17:11:25","FAGC-002915033","AR15","    --Buffer Rubber Spacer",173,"","","","",0,300,0,0,"",0,0.40,0.24,0,0.5,0.25,0.2,0.18,0.16,"",""
171,"2016-10-11 16:21:05","2017-02-03 17:11:25","FAGC-002915034","AR15","    --Buffer 3 steel Weights",174,"","","","",0,0,0,0,"",0,0.00,0,0,1.2,1.06,1.02,0.95,0.9,"",""
172,"2016-10-11 16:22:01","2017-02-03 17:11:25","FAGC-00291504","AR15","M4 Castle Nut",175,"","","","",0,0,0,0,"",0,19.00,0,0,2.6,2.5,2.41,2.36,2.25,"",""
173,"2016-10-11 16:22:49","2017-02-03 17:11:25","FAGC-00291505","AR15","M4 End Plate",176,"","","","",0,-1000,0,1000,"",0,15.00,0,0,1.87,1.75,1.56,1.35,1.22,"",""
174,"2016-10-18 10:35:30","2017-02-03 17:11:25","FAGC-00141613","M16","Safety Selector Lever M16",151,"M16 選擇器","","","",0,800,0,0,"",500,14.00,2.76,0,4.95,4.65,4.2,3.96,3.76,"",""
175,"2016-10-19 01:18:35","2017-02-03 17:11:25","FAGC-0018-CW","AR15","A2 Flash Hider Crash Washer 5.56",25,"","","","",0,-690,0,690,"",0,3.30,0,0,0,0,0,0,0,"",""
176,"2016-11-03 15:03:26","2017-02-03 17:11:25","FAGC-00131513-A","","Ambi-Safety Selector Lever",69,"","","","",0,828,0,50,"",0,0.00,4.0228246013667,0,8.78,8.2,7.55,6.87,6.12,"",""
177,"2016-11-18 10:31:35","2017-02-03 17:11:25","FAGC-00141613-A","M16","Ambi-Safety Selector Lever M16",152,"M16 雙邊選擇器","","","",0,680,0,25,"",0,21.00,4.46,0,9.78,9.2,8.56,7.87,7.12,"",""
178,"2016-11-18 12:37:15","2017-02-03 10:11:50","FAGC-00151","AR15","Forward Assist Roll Pin",18,"","","","",0,141114,0,111,"",0,0.00,0.0025624358293503,0,0.14,0.12,0.1,0.08,0.07,"",""
179,"2016-11-18 12:38:12","2017-02-03 17:11:25","FAGC-00191","","Gas Tube Roll Pin",31,"","","","",0,20000,0,0,"",0,0.00,0.0015775,0,0.14,0.12,0.1,0.08,0.07,"",""
180,"2016-11-18 14:31:52","2017-02-03 10:11:50","FAGC-00161","","Barrel Extension Roll Pin",22,"槍管套銷","","","",0,1495,0,0,"",0,0.00,0.32,0,0.39,0.37,0.35,0.34,0.33,"",""
181,"2016-12-12 12:50:45","2017-02-03 17:11:25","FAGC-00131512-L","AR15","Hammer Spring Light",67,"","","","",0,1000,0,0,"",0,1.72,0.11,0,0.38,0.35,0.33,0.3,0.27,"D0084-25 1.0",""
182,"2016-12-12 12:53:56","2017-02-03 17:11:25","FAGC-00131525-L","AR15","Trigger Spring Light",84,"","","","",0,1000,0,0,"",0,0.92,0.11,0,0.38,0.35,0.33,0.3,0.27,"D0084-26 0.92",""
183,"2016-12-12 12:55:47","2017-02-03 17:11:25","FAGC-00131522-L","AR15","Disconnector Spring Light",79,"","","","",0,1000,0,0,"",0,0.11,0.08,0,0.25,0.22,0.18,0.15,0.12,"D0084-27 0.5*11.3L",""
184,"2016-12-12 12:58:55","2017-02-03 10:11:50","FAGC-00152","AR15","Forward Assist Spring",19,"","","","",0,10000,0,0,"",0,1.79,0.017225,0,0.25,0.22,0.18,0.15,0.12,"D0084-28 1.0*28L",""
